UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Predicted_Value
1984,M16843,M,298.0,307.6,1459,44.4,163,0,No Failure
676,M15535,M,297.8,309.1,1424,45.5,2,0,No Failure
1158,L48337,L,297.0,307.8,1583,37.2,189,0,No Failure
32,L47211,L,299.0,309.4,1798,25.5,89,0,No Failure
185,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure
1699,L48878,L,297.9,307.6,1481,38.0,40,0,No Failure
447,L47626,L,297.5,308.6,1452,39.0,72,0,No Failure
261,M15120,M,298.2,308.3,1522,49.1,22,0,No Failure
1164,L48343,L,296.9,307.9,1367,47.1,204,0,No Failure
401,L47580,L,297.4,308.5,2100,16.9,176,0,No Failure
1772,L48951,L,298.4,307.9,1446,45.3,23,0,No Failure
1531,L48710,L,298.1,309.0,1497,40.5,58,0,No Failure
1080,L48259,L,297.0,307.7,1731,28.5,186,0,No Failure
1654,L48833,L,298.0,307.8,1386,57.3,147,0,No Failure
1201,M16060,M,296.9,308.0,1430,55.9,71,0,No Failure
1161,H30574,H,297.0,307.7,1834,23.8,195,0,No Failure
1743,L48922,L,298.5,308.0,1379,49.6,152,0,No Failure
418,L47597,L,297.4,308.4,1394,50.1,213,0,No Failure
83,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure
187,L47366,L,298.1,308.3,1301,56.0,63,0,No Failure
1771,H31184,H,298.4,307.9,1605,31.0,18,0,No Failure
1369,H30782,H,298.8,310.3,1708,27.1,78,0,No Failure
1026,L48205,L,296.2,307.3,1475,37.0,44,0,No Failure
1925,L49104,L,297.9,307.7,1353,50.7,13,0,No Failure
1066,L48245,L,296.8,307.9,1718,25.2,148,0,No Failure
213,H29626,H,298.4,308.7,1344,52.9,130,0,No Failure
705,L47884,L,297.7,308.9,1516,33.7,92,0,No Failure
112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure
1463,L48642,L,298.9,310.2,1706,27.6,103,0,No Failure
845,L48024,L,296.5,307.5,1566,35.1,206,0,No Failure
1553,L48732,L,298.5,308.9,1781,27.8,113,0,No Failure
1092,L48271,L,297.0,307.7,1447,46.4,8,0,No Failure
955,H30368,H,295.6,306.2,1414,42.5,69,0,No Failure
1612,M16471,M,297.8,307.9,1726,27.3,35,0,No Failure
1157,H30570,H,297.0,307.8,1404,40.7,184,0,No Failure
505,M15364,M,297.6,309.3,1529,41.9,3,0,No Failure
1073,M15932,M,297.0,307.9,1414,46.2,165,0,No Failure
163,L47342,L,298.3,308.1,1586,35.5,0,0,No Failure
1270,L48449,L,298.1,309.5,1467,41.8,48,0,No Failure
1273,H30686,H,298.0,309.4,1562,38.1,58,0,No Failure
1101,H30514,H,296.8,307.5,1695,30.0,33,0,No Failure
874,L48053,L,295.9,306.4,1892,21.7,72,0,No Failure
638,L47817,L,298.2,309.7,1585,37.4,118,0,No Failure
1632,L48811,L,298.0,308.0,1433,39.2,87,0,No Failure
729,M15588,M,297.4,308.7,1425,50.3,152,0,No Failure
793,L47972,L,296.8,307.8,1373,42.9,74,0,No Failure
738,H30151,H,296.9,308.3,1474,39.2,177,0,No Failure
1024,L48203,L,296.2,307.3,1881,24.3,40,0,No Failure
1226,H30639,H,297.1,308.3,1492,41.5,141,0,No Failure
648,L47827,L,297.7,309.3,1559,36.9,145,0,No Failure
1276,M16135,M,298.1,309.4,1362,47.6,70,0,No Failure
914,L48093,L,295.5,306.0,1621,29.5,176,0,No Failure
582,L47761,L,297.8,309.7,1394,42.9,206,0,No Failure
259,L47438,L,298.1,308.2,1482,37.9,17,0,No Failure
1277,M16136,M,298.2,309.4,1693,34.4,73,0,No Failure
433,M15292,M,297.6,308.5,1466,39.7,34,0,No Failure
1253,L48432,L,297.5,308.8,1533,41.5,223,0,No Failure
199,L47378,L,298.4,308.7,1588,35.0,99,0,No Failure
1861,L49040,L,297.8,307.6,1607,30.3,62,0,No Failure
1574,L48753,L,298.2,308.2,1466,42.4,164,0,No Failure
1346,L48525,L,298.5,310.0,1804,26.1,22,0,No Failure
101,L47280,L,298.8,308.9,1852,25.0,57,0,No Failure
1301,L48480,L,298.7,309.8,1322,57.0,140,0,No Failure
1142,L48321,L,297.0,307.9,1635,31.6,147,0,No Failure
1644,L48823,L,298.0,307.8,1453,37.7,119,0,No Failure
880,L48059,L,295.8,306.3,1337,54.6,87,0,No Failure
1535,L48714,L,298.0,308.8,1757,29.1,71,0,No Failure
1403,M16262,M,298.9,310.1,1313,56.8,171,0,No Failure
1057,L48236,L,296.8,307.8,1565,39.5,124,0,No Failure
520,M15379,M,297.7,309.5,2027,19.8,39,0,No Failure
439,L47618,L,297.4,308.4,1341,52.2,49,0,No Failure
1662,M16521,M,298.2,308.0,1411,47.2,168,0,No Failure
1568,L48747,L,298.1,308.2,1521,39.3,151,0,No Failure
1442,L48621,L,298.8,309.9,1550,38.8,53,0,No Failure
1891,L49070,L,297.8,307.4,1512,40.8,137,0,No Failure
224,L47403,L,298.4,308.6,1569,34.4,160,0,No Failure
251,L47430,L,298.0,308.3,1662,32.7,0,0,No Failure
799,M15658,M,296.9,307.8,1828,24.6,91,0,No Failure
1218,L48397,L,297.0,308.1,1455,43.5,122,0,No Failure
1347,L48526,L,298.6,310.1,1533,33.9,24,0,No Failure
1585,M16444,M,298.2,308.3,1639,33.3,191,0,No Failure
1037,M15896,M,296.4,307.5,1684,31.4,72,0,No Failure
884,L48063,L,295.7,306.3,1490,34.3,97,0,No Failure
1048,M15907,M,296.6,307.7,1474,52.6,101,0,No Failure
28,H29441,H,299.1,309.4,1811,24.6,77,0,No Failure
1198,M16057,M,296.9,307.9,1441,47.6,60,0,No Failure
564,L47743,L,297.7,309.6,1529,35.2,153,0,No Failure
1399,L48578,L,299.1,310.3,1472,46.6,157,0,No Failure
1686,L48865,L,297.9,307.3,1824,26.3,5,0,No Failure
97,M14956,M,299.0,309.0,1575,35.3,47,0,No Failure
1464,L48643,L,298.8,310.1,1607,39.5,105,0,No Failure
125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure
117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure
402,L47581,L,297.5,308.5,1722,30.4,178,0,No Failure
557,L47736,L,297.5,309.4,1357,50.1,137,0,No Failure
188,L47367,L,298.2,308.4,1379,43.1,65,0,No Failure
595,H30008,H,297.6,309.6,1278,50.4,2,0,No Failure
750,L47929,L,296.6,308.0,1978,22.3,208,0,No Failure
915,M15774,M,295.4,305.9,1518,40.6,178,0,No Failure
894,M15753,M,295.7,306.2,1423,42.5,121,0,No Failure
1688,L48867,L,297.9,307.3,1502,36.7,12,0,No Failure
1763,H31176,H,298.2,307.6,1460,48.6,204,0,No Failure
598,H30011,H,297.6,309.6,1428,46.6,13,0,No Failure
217,L47396,L,298.3,308.6,1499,38.3,142,0,No Failure
1692,L48871,L,297.9,307.5,1602,38.3,21,0,No Failure
258,L47437,L,298.0,308.0,1615,29.5,15,0,No Failure
747,L47926,L,296.8,308.1,1289,62.0,199,1,Over Strain
1367,M16226,M,298.7,310.1,1368,56.8,72,0,No Failure
1556,L48735,L,298.4,308.6,1491,42.0,120,0,No Failure
579,L47758,L,297.8,309.8,1533,36.8,198,0,No Failure
523,M15382,M,297.5,309.5,1448,43.7,46,0,No Failure
1503,L48682,L,298.0,308.7,1462,48.2,204,0,No Failure
797,M15656,M,296.9,307.9,2010,18.9,86,0,No Failure
1146,L48325,L,297.0,307.8,1553,33.3,155,0,No Failure
317,L47496,L,297.8,308.4,1714,33.2,177,0,No Failure
1920,L49099,L,298.2,308.0,1658,30.0,3,0,No Failure
95,L47274,L,299.0,308.9,1622,31.9,42,0,No Failure
1519,H30932,H,298.2,309.0,1371,55.7,23,0,No Failure
844,L48023,L,296.6,307.5,1485,42.7,204,0,No Failure
717,H30130,H,297.4,308.6,1420,45.8,120,0,No Failure
1290,M16149,M,298.6,309.7,1635,32.2,110,0,No Failure
1625,M16484,M,297.8,307.8,1310,57.9,70,0,No Failure
107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure
286,L47465,L,298.2,308.3,1568,36.0,92,0,No Failure
852,M15711,M,296.2,307.2,1389,48.6,7,0,No Failure
1096,L48275,L,296.9,307.5,2721,9.3,18,1,No Failure
936,M15795,M,295.5,306.0,1641,36.6,21,0,No Failure
1596,L48775,L,298.0,308.2,1365,52.9,218,1,Over Strain
1681,M16540,M,297.9,307.4,1610,34.6,219,0,No Failure
1041,L48220,L,296.7,307.7,1502,43.9,84,0,No Failure
170,L47349,L,298.4,308.3,1318,59.1,22,0,No Failure
1459,L48638,L,298.9,310.3,1364,54.0,95,0,No Failure
1529,L48708,L,298.1,309.0,1559,34.0,54,0,No Failure
910,L48089,L,295.5,306.0,1456,39.2,167,0,No Failure
343,L47522,L,297.4,308.2,1471,46.5,25,0,No Failure
1432,M16291,M,298.9,309.9,1404,41.4,20,0,No Failure
727,M15586,M,297.4,308.8,1628,37.4,144,0,No Failure
1508,M16367,M,298.0,308.6,1376,55.7,214,0,No Failure
1790,L48969,L,298.2,307.9,1313,67.3,67,1,Power Failure
713,L47892,L,297.5,308.7,1453,37.6,112,0,No Failure
980,L48159,L,296.2,306.8,1389,53.3,132,0,No Failure
269,H29682,H,297.9,308.0,1800,24.8,44,0,No Failure
400,L47579,L,297.4,308.4,1392,49.7,174,0,No Failure
1129,M15988,M,296.8,307.9,1843,25.2,116,0,No Failure
1348,L48527,L,298.7,310.2,1717,27.3,26,0,No Failure
1374,M16233,M,298.8,310.3,1366,59.0,94,0,No Failure
1443,M16302,M,298.8,310.0,1486,38.5,55,0,No Failure
1505,L48684,L,298.0,308.7,1506,47.0,208,0,No Failure
1560,L48739,L,298.2,308.3,1458,41.8,132,0,No Failure
1518,M16377,M,298.2,308.9,1408,38.8,20,0,No Failure
633,H30046,H,298.3,310.0,1419,47.1,105,0,No Failure
937,M15796,M,295.6,306.1,1418,46.2,24,0,No Failure
1998,L49177,L,298.3,308.1,1672,41.3,0,0,No Failure
1225,L48404,L,297.1,308.3,1763,25.7,139,0,No Failure
234,L47413,L,298.2,308.4,1512,34.9,181,0,No Failure
279,M15138,M,298.0,308.0,1620,29.4,75,0,No Failure
703,M15562,M,297.7,308.9,1531,48.3,84,0,No Failure
1648,L48827,L,297.8,307.8,1761,28.9,128,0,No Failure
1492,M16351,M,298.1,308.9,1353,46.2,173,0,No Failure
1045,L48224,L,296.5,307.6,1512,43.6,92,0,No Failure
1131,L48310,L,296.8,307.9,1413,46.5,121,0,No Failure
207,L47386,L,298.5,308.7,1609,35.3,117,0,No Failure
735,H30148,H,297.0,308.4,1305,54.6,168,0,No Failure
773,H30186,H,296.8,308.0,1453,51.0,24,0,No Failure
121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure
1439,L48618,L,298.8,309.9,1482,39.1,45,0,No Failure
500,L47679,L,297.5,309.1,1515,35.1,213,0,No Failure
707,M15566,M,297.8,309.0,1434,43.3,96,0,No Failure
1398,L48577,L,299.1,310.2,1569,38.2,155,0,No Failure
1417,M16276,M,298.7,309.9,2083,18.2,205,0,No Failure
1075,L48254,L,297.0,307.9,1595,31.7,170,0,No Failure
964,L48143,L,295.8,306.6,1621,31.6,95,0,No Failure
362,L47541,L,297.5,308.3,1596,36.8,77,0,No Failure
1981,M16840,M,298.0,307.6,1301,58.5,155,0,No Failure
989,H30402,H,296.3,307.1,1774,25.9,154,0,No Failure
642,L47821,L,297.9,309.5,1390,47.9,127,0,No Failure
1970,H31383,H,297.8,307.5,1631,31.3,124,0,No Failure
1375,L48554,L,298.8,310.3,1553,36.8,97,0,No Failure
347,M15206,M,297.5,308.3,1459,45.2,34,0,No Failure
1206,L48385,L,296.8,308.0,1371,54.5,86,0,No Failure
842,L48021,L,296.6,307.5,1439,45.5,199,0,No Failure
1028,M15887,M,296.3,307.4,1335,50.5,48,0,No Failure
357,M15216,M,297.6,308.4,1398,48.9,63,0,No Failure
1525,L48704,L,298.2,309.0,1601,35.8,43,0,No Failure
1304,L48483,L,298.7,309.9,1593,42.5,146,0,No Failure
1342,M16201,M,298.6,310.2,1328,50.5,12,0,No Failure
946,M15805,M,295.7,306.3,1347,50.4,46,0,No Failure
933,L48112,L,295.6,306.0,1363,50.0,14,0,No Failure
139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure
1204,H30617,H,297.0,308.1,1410,47.6,79,0,No Failure
1678,M16537,M,297.9,307.5,1647,30.8,212,0,No Failure
1077,L48256,L,296.9,307.7,1653,35.9,177,0,No Failure
314,L47493,L,298.0,308.6,1313,50.8,170,0,No Failure
1696,L48875,L,298.0,307.6,1509,41.6,33,0,No Failure
899,L48078,L,295.6,306.2,1446,49.9,133,0,No Failure
256,L47435,L,298.0,308.2,1489,40.4,11,0,No Failure
1212,H30625,H,296.9,308.0,1416,46.9,105,0,No Failure
1691,M16550,M,297.9,307.4,1435,42.9,18,0,No Failure
1428,L48607,L,298.7,309.8,1394,40.3,11,0,No Failure
1477,L48656,L,298.4,309.5,1692,28.3,136,0,No Failure
1776,L48955,L,298.5,308.0,1404,48.1,32,0,No Failure
1060,M15919,M,296.7,307.9,1874,21.3,130,0,No Failure
1641,L48820,L,298.0,307.8,1567,36.4,109,0,No Failure
1343,M16202,M,298.6,310.1,1596,33.0,15,0,No Failure
1721,L48900,L,298.2,307.7,1459,44.5,89,0,No Failure
9,M14868,M,298.3,308.7,1667,28.6,18,0,No Failure
72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure
1469,M16328,M,298.6,309.8,1419,44.9,115,0,No Failure
1679,L48858,L,298.0,307.5,1644,32.8,215,0,No Failure
1933,M16792,M,298.1,308.0,1686,29.3,35,0,No Failure
299,H29712,H,297.9,308.5,2129,18.7,126,0,No Failure
973,L48152,L,295.8,306.6,1644,35.2,115,0,No Failure
43,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure
837,L48016,L,296.6,307.4,1368,45.1,185,0,No Failure
1557,H30970,H,298.4,308.5,1398,47.1,122,0,No Failure
1138,L48317,L,296.9,307.8,1653,29.7,137,0,No Failure
1608,L48787,L,297.8,307.8,1412,48.3,27,0,No Failure
1306,L48485,L,298.8,310.0,1672,30.4,150,0,No Failure
361,M15220,M,297.5,308.3,1521,38.2,74,0,No Failure
909,M15768,M,295.5,306.1,1822,24.3,164,0,No Failure
865,M15724,M,296.0,306.7,2044,22.3,48,0,No Failure
1602,L48781,L,297.8,307.8,1597,38.2,11,0,No Failure
280,L47459,L,298.0,308.1,1819,23.4,78,0,No Failure
519,L47698,L,297.6,309.5,1924,20.6,37,0,No Failure
320,L47499,L,297.8,308.4,1612,32.1,183,0,No Failure
1200,M16059,M,296.9,307.9,1979,20.4,68,0,No Failure
1069,L48248,L,296.8,307.8,1394,47.7,155,0,No Failure
1511,M16370,M,298.1,308.7,1547,38.9,0,0,No Failure
1484,L48663,L,298.0,308.9,1578,35.6,153,0,No Failure
524,L47703,L,297.4,309.4,1401,45.9,49,0,No Failure
174,M15033,M,298.2,308.0,1591,33.7,32,0,No Failure
1991,L49170,L,298.2,307.8,1423,48.1,183,0,No Failure
673,M15532,M,297.6,308.9,1433,43.2,206,0,No Failure
219,L47398,L,298.3,308.6,1447,38.1,146,0,No Failure
1088,H30501,H,296.9,307.8,1549,35.8,206,1,No Failure
1999,H31412,H,298.3,308.0,1637,30.8,2,0,No Failure
1114,M15973,M,296.6,307.4,1790,25.8,72,0,No Failure
1456,L48635,L,299.0,310.4,1382,53.0,89,0,No Failure
360,M15219,M,297.6,308.3,1567,34.6,71,0,No Failure
956,L48135,L,295.6,306.3,1911,20.9,74,0,No Failure
1741,M16600,M,298.5,307.9,1640,33.1,146,0,No Failure
1725,M16584,M,298.3,307.8,1457,52.5,98,0,No Failure
486,M15345,M,297.4,309.0,1685,30.7,177,0,No Failure
1965,M16824,M,297.8,307.5,1405,46.9,113,0,No Failure
1030,M15889,M,296.2,307.3,1477,35.2,53,0,No Failure
1232,M16091,M,297.2,308.5,1604,40.7,158,0,No Failure
689,H30102,H,297.6,309.0,1735,26.4,41,0,No Failure
1877,L49056,L,298.3,308.0,1242,62.0,98,0,No Failure
19,H29432,H,298.8,309.2,1306,54.5,50,0,No Failure
1081,L48260,L,297.0,307.8,1774,28.0,188,0,No Failure
1083,H30496,H,297.1,307.9,1420,39.8,192,0,No Failure
526,L47705,L,297.4,309.4,1466,45.5,53,0,No Failure
840,M15699,M,296.5,307.4,1565,43.5,194,0,No Failure
41,L47220,L,298.8,309.1,1362,45.4,113,0,No Failure
1884,M16743,M,298.0,307.6,1472,46.7,116,0,No Failure
329,H29742,H,297.6,308.4,1703,31.4,205,0,No Failure
1905,M16764,M,298.0,307.6,1569,35.6,173,0,No Failure
1372,M16231,M,298.7,310.3,1495,38.7,88,0,No Failure
1619,L48798,L,297.9,307.8,1286,59.5,55,0,No Failure
1331,L48510,L,298.9,310.2,1696,30.2,214,0,No Failure
1404,L48583,L,299.0,310.2,1372,48.0,174,0,No Failure
84,L47263,L,299.0,309.0,1469,40.1,13,0,No Failure
640,L47819,L,298.0,309.6,1403,51.3,122,0,No Failure
1126,M15985,M,296.7,307.8,1375,51.4,108,0,No Failure
1715,L48894,L,298.2,307.8,1388,48.6,76,0,No Failure
1195,M16054,M,297.0,308.1,1507,43.1,51,0,No Failure
1554,L48733,L,298.5,308.8,1332,59.1,115,0,No Failure
231,L47410,L,298.3,308.6,1570,34.8,175,0,No Failure
1039,L48218,L,296.6,307.6,1498,41.1,80,0,No Failure
436,L47615,L,297.4,308.3,1493,41.2,43,0,No Failure
1462,L48641,L,298.9,310.2,1491,45.1,101,0,No Failure
601,L47780,L,297.8,309.7,1547,37.3,25,0,No Failure
1590,M16449,M,298.1,308.3,1453,41.5,204,0,No Failure
189,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure
838,L48017,L,296.6,307.4,1465,47.8,187,0,No Failure
1978,M16837,M,298.1,307.7,1633,30.7,145,0,No Failure
847,M15706,M,296.4,307.4,1416,50.0,210,0,No Failure
1946,L49125,L,298.1,308.1,1616,32.8,65,0,No Failure
1658,M16517,M,298.1,308.0,1374,48.8,156,0,No Failure
769,L47948,L,296.9,308.0,1713,29.3,13,0,No Failure
1507,L48686,L,298.0,308.8,1610,33.7,212,0,No Failure
551,L47730,L,297.4,309.2,1698,29.4,119,0,No Failure
1629,L48808,L,297.9,307.8,1451,38.2,80,0,No Failure
441,L47620,L,297.4,308.5,1389,39.2,54,0,No Failure
1188,M16047,M,297.4,308.6,1522,38.0,33,0,No Failure
1598,L48777,L,297.9,308.1,1531,40.8,2,0,No Failure
122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure
1377,M16236,M,298.8,310.2,1527,31.2,102,0,No Failure
963,M15822,M,295.8,306.6,1480,43.2,92,0,No Failure
623,M15482,M,298.4,310.2,1725,32.0,80,0,No Failure
1941,L49120,L,298.1,307.9,1578,35.6,55,0,No Failure
993,L48172,L,296.1,307.1,1651,35.7,167,0,No Failure
34,L47213,L,298.9,309.3,1665,32.5,93,0,No Failure
680,L47859,L,297.8,309.2,1372,47.3,15,0,No Failure
104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure
696,L47875,L,297.6,309.0,1487,45.4,64,0,No Failure
129,L47308,L,299.0,308.6,1587,38.6,124,0,No Failure
86,M14945,M,299.0,309.0,1804,26.8,17,0,No Failure
785,L47964,L,296.7,307.9,1743,27.9,55,0,No Failure
1900,L49079,L,297.8,307.5,1388,40.0,159,0,No Failure
1380,L48559,L,298.7,310.1,1620,34.8,112,0,No Failure
1909,L49088,L,297.9,307.6,1977,20.2,182,0,No Failure
1481,M16340,M,298.2,309.3,2056,18.7,144,0,No Failure
534,L47713,L,297.5,309.3,1675,29.8,72,0,No Failure
1729,L48908,L,298.3,307.7,1465,49.4,109,0,No Failure
921,M15780,M,295.5,305.9,1518,44.1,194,0,No Failure
1120,L48299,L,296.5,307.5,1340,59.1,89,0,No Failure
1495,M16354,M,298.0,308.7,1377,48.5,181,0,No Failure
971,L48150,L,295.8,306.5,1568,35.1,111,0,No Failure
1545,L48724,L,298.4,309.0,1474,52.7,95,0,No Failure
779,L47958,L,296.7,308.0,1580,32.2,39,0,No Failure
1384,M16243,M,298.9,310.2,1331,49.0,121,0,No Failure
802,L47981,L,296.9,307.8,1285,52.1,100,0,No Failure
1177,M16036,M,297.2,308.3,1429,42.0,6,0,No Failure
1506,L48685,L,298.0,308.7,1626,36.7,210,0,No Failure
1867,M16726,M,298.1,307.9,1662,28.9,76,0,No Failure
1245,L48424,L,297.1,308.4,1726,28.4,202,0,No Failure
1997,M16856,M,298.4,308.0,1416,38.2,198,1,No Failure
151,L47330,L,298.4,308.3,1422,42.7,186,0,No Failure
939,L48118,L,295.6,306.2,1823,25.8,29,0,No Failure
792,L47971,L,296.8,307.9,1611,35.4,72,0,No Failure
1559,M16418,M,298.2,308.3,1476,43.5,129,0,No Failure
986,L48165,L,296.4,307.2,1748,25.3,144,0,No Failure
970,L48149,L,295.9,306.6,1412,41.0,109,0,No Failure
1214,M16073,M,296.8,307.8,1551,38.9,112,0,No Failure
885,L48064,L,295.8,306.4,1356,48.0,99,0,No Failure
892,L48071,L,295.7,306.1,1408,47.9,117,0,No Failure
78,L47257,L,298.8,308.9,1455,41.3,208,1,No Failure
281,M15140,M,298.1,308.1,1456,43.7,80,0,No Failure
302,L47481,L,297.7,308.4,1740,27.1,136,0,No Failure
126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure
141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure
323,L47502,L,297.8,308.5,1448,40.0,192,0,No Failure
349,L47528,L,297.6,308.3,1617,31.7,39,0,No Failure
1835,L49014,L,297.8,307.2,1498,38.1,188,0,No Failure
920,L48099,L,295.4,305.8,1407,50.7,192,0,No Failure
1863,L49042,L,297.9,307.7,1517,44.4,67,0,No Failure
535,L47714,L,297.5,309.3,1623,33.4,74,0,No Failure
772,H30185,H,296.8,308.0,1311,58.6,19,0,No Failure
287,L47466,L,298.2,308.3,1589,33.2,94,0,No Failure
459,L47638,L,297.3,308.6,1486,42.6,105,0,No Failure
39,H29452,H,298.9,309.2,1379,50.7,106,0,No Failure
115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure
949,M15808,M,295.6,306.3,1426,45.5,53,0,No Failure
578,L47757,L,297.7,309.7,1591,37.7,196,0,No Failure
1302,L48481,L,298.7,309.9,1483,32.8,142,0,No Failure
1740,H31153,H,298.5,307.9,1260,54.2,141,0,No Failure
1337,L48516,L,298.9,310.3,1583,32.6,230,0,No Failure
1118,L48297,L,296.5,307.4,1523,40.7,85,0,No Failure
1385,L48564,L,298.9,310.3,1484,43.8,124,0,No Failure
1812,M16671,M,298.1,307.8,1569,31.2,131,0,No Failure
708,L47887,L,297.7,308.9,1838,27.3,99,0,No Failure
442,H29855,H,297.5,308.5,1393,46.6,56,0,No Failure
1034,H30447,H,296.4,307.5,1556,38.0,62,0,No Failure
90,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure
637,L47816,L,298.3,309.9,1463,43.9,116,0,No Failure
778,L47957,L,296.7,307.8,1382,47.5,37,0,No Failure
758,L47937,L,296.9,308.1,1555,33.7,229,0,No Failure
1583,H30996,H,298.1,308.3,1530,42.0,184,0,No Failure
1362,M16221,M,298.6,310.1,1458,41.9,61,0,No Failure
1100,M15959,M,296.8,307.4,1472,43.9,30,0,No Failure
1128,M15987,M,296.7,307.8,1672,32.4,113,0,No Failure
1460,L48639,L,299.0,310.3,1472,36.1,97,0,No Failure
605,L47784,L,297.9,309.9,1542,33.8,33,0,No Failure
431,L47610,L,297.5,308.6,1596,37.1,30,0,No Failure
159,M15018,M,298.4,308.2,1499,40.0,211,0,No Failure
1360,L48539,L,298.7,310.2,1404,50.3,54,0,No Failure
1339,L48518,L,298.6,310.1,1721,27.2,5,0,No Failure
377,M15236,M,297.4,308.2,1401,51.9,117,0,No Failure
1972,L49151,L,297.9,307.6,1298,52.7,132,0,No Failure
965,L48144,L,295.7,306.5,1737,26.2,97,0,No Failure
587,L47766,L,297.6,309.6,1501,49.8,222,1,No Failure
1865,L49044,L,297.9,307.7,1546,37.6,72,0,No Failure
777,L47956,L,296.7,307.8,1468,39.2,35,0,No Failure
487,M15346,M,297.4,309.1,1582,35.9,180,0,No Failure
1569,L48748,L,298.2,308.2,1407,47.1,153,0,No Failure
1804,L48983,L,298.1,307.7,1388,40.3,109,0,No Failure
1097,L48276,L,297.0,307.6,1680,35.8,20,0,No Failure
1376,M16235,M,298.8,310.3,1528,37.1,99,0,No Failure
630,L47809,L,298.3,310.1,1523,45.9,99,0,No Failure
716,L47895,L,297.4,308.6,1324,59.1,118,0,No Failure
629,M15488,M,298.4,310.1,1335,57.8,96,0,No Failure
1328,L48507,L,298.8,310.2,1814,26.8,204,0,No Failure
1151,L48330,L,297.1,307.9,1456,50.0,166,0,No Failure
1824,L49003,L,298.1,307.7,1414,48.7,159,0,No Failure
1932,M16791,M,298.2,308.0,1969,21.7,32,0,No Failure
10,M14869,M,298.5,309.0,1741,28.0,21,0,No Failure
1839,M16698,M,297.8,307.2,1456,39.6,199,0,No Failure
1105,L48284,L,296.6,307.4,1389,42.7,48,0,No Failure
699,L47878,L,297.6,308.8,1539,40.2,72,0,No Failure
567,M15426,M,297.6,309.7,1541,33.7,165,0,No Failure
1458,L48637,L,299.0,310.3,1475,42.4,93,0,No Failure
1887,L49066,L,297.9,307.6,1503,40.7,124,0,No Failure
597,M15456,M,297.6,309.6,1530,37.3,10,0,No Failure
1782,L48961,L,298.5,308.1,1662,28.6,48,0,No Failure
818,L47997,L,296.8,307.6,1368,52.0,140,0,No Failure
683,H30096,H,297.8,309.0,1410,48.8,23,0,No Failure
1008,M15867,M,296.2,307.2,1633,31.1,0,0,No Failure
430,L47609,L,297.5,308.6,1208,62.3,28,0,No Failure
510,M15369,M,297.6,309.3,1415,41.3,17,0,No Failure
764,L47943,L,296.7,307.8,1400,47.5,3,0,No Failure
1541,M16400,M,298.4,309.1,1525,39.3,86,0,No Failure
59,M14918,M,298.8,309.0,1661,29.5,162,0,No Failure
407,L47586,L,297.4,308.6,1439,51.9,188,0,No Failure
306,L47485,L,297.8,308.4,2129,19.2,148,0,No Failure
1778,H31191,H,298.6,308.2,1555,36.8,36,0,No Failure
91,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure
694,L47873,L,297.7,309.1,1477,38.3,60,0,No Failure
657,M15516,M,297.7,309.1,1732,28.1,167,0,No Failure
507,L47686,L,297.6,309.3,1543,34.3,8,0,No Failure
776,L47955,L,296.7,307.8,1453,46.0,33,0,No Failure
195,M15054,M,298.2,308.5,2678,10.7,86,1,No Failure
462,L47641,L,297.4,308.7,1402,40.2,114,0,No Failure
1473,M16332,M,298.5,309.6,1438,44.5,124,0,No Failure
62,M14921,M,298.8,309.0,1592,38.2,169,0,No Failure
1239,M16098,M,297.1,308.4,1615,32.6,184,0,No Failure
951,L48130,L,295.6,306.2,1424,42.5,58,0,No Failure
293,L47472,L,298.1,308.4,1335,40.2,109,0,No Failure
1928,H31341,H,298.0,307.8,1314,47.8,19,0,No Failure
356,L47535,L,297.6,308.3,1623,36.9,61,0,No Failure
1708,L48887,L,298.2,307.8,1439,41.6,62,0,No Failure
1572,L48751,L,298.3,308.4,1528,37.3,160,0,No Failure
48,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure
1491,L48670,L,298.2,309.0,1341,43.8,171,0,No Failure
741,M15600,M,296.9,308.4,1450,46.9,186,0,No Failure
1573,L48752,L,298.2,308.3,1230,59.6,162,0,No Failure
11,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure
1338,H30751,H,298.7,310.2,1613,36.0,0,0,No Failure
